region_code,citation_type,citation,citation_full,citation_url
DK,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
EE,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
FI,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
LV,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
LT,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
NO,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
HU,red_list,Ádám Kőrösi & Ádám Gór (pers. comm.),,
SE,red_list,Ahrné et al. (2015),"Ahrné, K., Bengtsson, B., Björklund, J.O., Cederberg, B., Eliasson, C., Hydén, N., Jonasson, J., Lindeborg, M., Ohlsson, A., Palmqvist, G., Ryrholm, N., 2015. Rödlistade fjärilar, Redlisted Butterflies and Moths (Lepidoptera) i “Rödlistade arter i Sverige 2015"", In Rödlistade arter i Sverige 2015. ed. A. Westling, pp. 98-112. ArtDatabanken, Uppsala.",
SE,species_list,Ahrné et al. (2015),"Ahrné, K., Bengtsson, B., Björklund, J.O., Cederberg, B., Eliasson, C., Hydén, N., Jonasson, J., Lindeborg, M., Ohlsson, A., Palmqvist, G., Ryrholm, N., 2015. Rödlistade fjärilar, Redlisted Butterflies and Moths (Lepidoptera) i “Rödlistade arter i Sverige 2015"", In Rödlistade arter i Sverige 2015. ed. A. Westling, pp. 98-112. ArtDatabanken, Uppsala.",
LI,species_list,Aistleitner and Aistleitner (1996),"Aistleitner, E., Aistleitner, U., 1996. Die Tagfalter des Fürstentums Liechtenstein (Lepidoptera: Papilionoidea und Hesperioidea). Regierung des Fürstentums Liechtenstein, Vaduz.",
CZ,species_list,Alois Pavlíčko and Zdeněk Faltýnek Fric (pers. comm.),,
SI,red_list,Anonymous (2002),"Anonymous, 2002. Rules on the inclusion of endangered plant and animal species on the Red List, Annex 16, In Official gazette of RS, Ur. l. Rep. Slo. pp. Regulations 82: 8893-8975.",
AL,red_list,Anonymous (2013),"Anonymous (2013) Red List of wild flora and fauna, Albania",
EE,red_list,Anu Tiitsaar (pers.comm.),,
MA_CA,species_list,Báez and Oromí (2010),"Báez, M., Oromí, P., 2010. Lepidoptera, In Lista de especies silvestres de Canarias. Hongos, plantas y animales terrestres. 2009. eds M. Arechavaleta, S. Rodríguez, N. Zurita, A. García, pp. 302-318. Gobierno de Canarias, Santa Cruz de Tenerife.",
IT,species_list,Balletto et al. (2014),"Balletto, E., Cassulo, L.A., Bonelli, S., 2014. An annotated Checklist of the Italian Butterflies and Skippers (Papilionoidea, Hesperiioidea). Zootaxa 3853, 1-114.",https ://doi.org/10.11646 /zoota xa.3853.1.1
CZ,red_list,Beneš and Konvička (2017),"Beneš, J., Konvička, M., 2017. Hesperioidea a Papilionoidea (denní motýli), In Červený seznam ohrožených druhů České republiky. Bezobratlí [Red List of threatened species of the Czech Republic. Invertebrates]. eds R. Hejda, J. Farkač, K. Chobot, pp. 177-234. Příroda, Praha.",
IT,red_list,Bonelli et al. (2018),"Bonelli, S., Casacci, L.P., Barbero, F., Cerrato, C., Dapporto, L., Sbordoni, V., Scalercio, S., Zilli, A., Battistoni, A., Teofili, C., Rondinini, C., Balletto, E., 2018. The first red list of Italian butterflies. Insect Conserv. Diver. 11, 506-5821.",https ://doi.org/10.1111/icad.12293
NL,red_list,Bos et al. (2006),"Bos, F., Bosveld, M., Groenendijk, D., van Swaay, C.A.M., Wynhoff, I., De Vlinderstichting, 2006. De dagvlinders van Nederland. Verspreiding en bescherming (Lepidoptera: Hesperioidea, Papilionoidea). Nationaal Natuurhistorisch Museum Naturalis; KNNV Uitgeverij; European Invertebrate Survey, Leiden.",
PL,species_list,Buszko and Masłowski (2015),"Buszko, J., Masłowski, J., 2015. Motyle dzienne Polski. Koliber, Nowy Sącz, Poland.",
PL,red_list,Buszko and Nowacki (2002),"Buszko, J., Nowacki, J., 2002. Lepidoptera - Motyle, In Red List of threatened animals in Poland. ed. Z. Głowaciński, pp. 80-87. Polish Academy of Sciences, Institute of Nature Conservation, Cracow.",
PL,red_list,Buszko and Sielezniew (pers. comm.),,
MT,species_list,Cassar (2018),"Cassar, L.F., 2018. A revision of the butterfly fauna (Lepidoptera - Rhopalocera) of the Maltese Islands. Il Naturalista siciliano 42, 3-19.",
GR,species_list,Coutsis and Bozano (2017),"Coutsis, J.G., Bozano, G.C., 2017. The true identity of butterflies originally recorded as Hipparchia (Porahipparchia) pellucida (Stauder, L923) from the Eastern Aegean Greek islands of Lézvos and lkaría (Lepidoptera: Nymphalidae, Satyrinae). Phegea 45, 106-109.",
AL,species_list,Cuvelier et al. (2018),"Cuvelier, S., Parmentier, L., Paparisto, A., Couckuyt, J., 2018. Butterflies of Albania – Fluturat e Shqipërisë. New surveys, new species and a new checklist (Lepidoptera: Papilionoidea). Phegea 46, 48-69.",
RU,red_list,Danilov-Danilian (2001),"Danilov-Danilian, V.I., 2001. Red Data Book of the Russian Federation: Animals. AST & Astrel Publ, Moscow.",
AD,red_list,Dantart and Jubany (2012),"Dantart, J., Jubany, J., 2012. Les Papallones Diürnes d'Andorra [The Butterflies of Andorra]. Centre d'Estudis de la Neu i de la Muntanya d'Andorra, Andorra.",
AD,species_list,Dantart and Jubany (2012),"Dantart, J., Jubany, J., 2012. Les Papallones Diürnes d'Andorra [The Butterflies of Andorra]. Centre d'Estudis de la Neu i de la Muntanya d'Andorra, Andorra.",
BA,red_list,Đug (2013),"Đug, S., 2013. Knjiga 3 - Crvena Lista Faune Federacije Bosne I Hercegovine. EU Greenway, Sarajevo.",
IS,species_list,Erling Ólafsson (pers. comm.),,
BE,red_list,Fichefet et al. (2008),"Fichefet, V., Barbier, Y., Baugnée, J.Y., Dufrêne, M., Goffart, P., Maes, D., Van Dyck, H., 2008. Papillons de jour de Wallonie (1985-2007). Groupe de Travail Lépidoptères Lycaena , Département de l'Etude du Milieu Naturel et Agricole (SPW/DGARNE), Gembloux.",
BE,species_list,Fichefet et al. (2008),"Fichefet, V., Barbier, Y., Baugnée, J.Y., Dufrêne, M., Goffart, P., Maes, D., Van Dyck, H., 2008. Papillons de jour de Wallonie (1985-2007). Groupe de Travail Lépidoptères Lycaena , Département de l'Etude du Milieu Naturel et Agricole (SPW/DGARNE), Gembloux.",
UK,red_list,Fox et al. (2011),"Fox, R., Warren, M.S., Brereton, T.M., Roy, D.B., Robinson, A., 2011. A new Red List of British butterflies. Insect Conserv. Diver. 4, 159-172.",https://doi.org/10.1111/j.1752-4598.2010.00117.x
ME,species_list,Franeta (2018),"Franeta, F., 2018. Checklist of the butterflies (Lepidoptera: Papilionoidea) of Montenegro. Zootaxa 4392, 128-148.",https://doi.org/10.11646 /zootaxa.4392.1.6
ES,species_list,García-Barros et al. (2013),"García-Barros, E., Munguira, M.L., Stefanescu, C., Vives Moreno, A., 2013. Lepidoptera Papilionoidea, In Fauna Iberica. ed. M.A. Ramos Sánchez. Museo Nacional de Ciencias Naturales, CSIC, Madrid.",
PT,species_list,Garcia-Pereira et al. (2003),"Garcia-Pereira, P., García-Barros, E., Munguira, M.L., 2003. Patrones de distribución de las mariposas diurnas en Portugal (Lepidoptera, Papilionoidea, Hesperiidae, Zygaenidae). Graellsia 59, 259-271.",
HU,species_list,Gergely et al. (2017),"Gergely, P., Gór, Á., Hudák, T., Ilonczai, Z., Szombathelyi, E., 2017. Nappali lepkéink – Határozó terepre és természetfotókhoz / A Field Guide to the Butterflies of Hungary. Kitaibel Kiadó, Biatorbágy.",
NO,red_list,Henriksen and Hilmo (2015),"Henriksen, S., Hilmo, O., 2015. Kunnskapsgrunnlaget. Norsk rødliste for arter 2015, ed. Artsdatabanken. Artsdatabanken.",http://www.artsd ataba nken.no/Rodliste/Kunns kapsg runnl aget.
SK,red_list,Hernik Kalivoda (pers. comm.),,
AT,red_list,Höttinger and Pennerstorfer (2005),"Höttinger, H., Pennerstorfer, J., 2005. Rote Liste der Tagschmetterlinge Österreichs (Lepidoptera: Papilionoidea & Hesperioidea), In Rote Listen gefährdeter Tiere Österreichs. Checklisten, Gefährdungsanalysen, Handlungsbedarf. Teil 1: Säugetiere, Vögel, Heuschrecken, Wasserkäfer, Netzflügler, Schnabelfliegen, Tagfalter. ed. K.P. Zulka, pp. 313–354. Bundesministeriums für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft (Gesamtherausgeberin Ruth Wallner, Wien, Böhlau.",
BG,red_list,Hristova and Beshkov (2017),"Hristova, H.O., Beshkov, S.V., 2017. Checklist of the Superfamilies Hesperioidea and Papilionoidea (Insecta: Lepidoptera) of Bulgaria, with Application of the IUCN Red List Criteria at National Level. Acta Zoologica Bulgarica 69, 105-114.",
AT,species_list,Huemer (2013),"Huemer, P., 2013. Die Schmetterlinge Österreichs (Lepidoptera). Systematische und faunistische Checkliste. Tiroler Landesmuseen, Innsbruck.",
AT,species_list,Huemer and Wiesmair (2017),"Huemer, P., Wiesmair, B., 2017. DNA-Barcoding der Tagfalter (Lepidoptera, Papilionoidea) Österreichs - Unbekannte genetische Vielfalt im Zentrum Europas, In Wissenschaftliches Jahrbuch der Tiroler Landesmuseen 2017. ed. W. Meighörner, pp. 9-33. Tiroler Landes museum, Innsbruck, Wien, Bozen.",
RU,red_list,Iliashenko and Iliashenko (2000),"Iliashenko, V.Y., Iliashenko, E.I., 2000. Krasnaya kniga Rossii: pravovye akty [Red Data Book of Russia: legislative acts]. State committee of the Russian Federation for Environmental Protection, Moscow.",
RS,red_list,Jakšić (2003),"Jakšić, P., 2003. Red Data book of Serbian butterflies. Lepidoptera: Hesperioidea and Papilionoidea. Institute for Nature Conservation of Serbia, Belgrade.",
CY,species_list,John and Skule (2016),"John, E., Skule, B., 2016. Chapter 15: Lepidoptera, In An Introduction to the Wildlife of Cyprus. eds D.J. Sparrow, E. John, pp. 268-385. Terra Cypria, Cyprus.",
FI,red_list,Kaitila et al. (2010),"Kaitila, J.-P., Nupponen, K., Kullberg, J., Laasonen, E., 2010. Perhoset - Butterflies and Moths. Lepidoptera, In The 2010 Red List of Finnish Species. eds P. Rassi, E. Hyvärinen, A. Juslén, I. Mannerkoski, pp. 430-470. Ympäristöministeriö & Suomen ympäristökeskus, Helsinki.",
BG,species_list,Kolev (2017),"Kolev, Z., 2017. Rubrapterus bavius (Eversmann, 1832), a butterfly genus and species new to Bulgaria (Insecta, Lepidoptera, Lycaenidae). ZooNotes 114, 1-4.",
BG,species_list,Kolev and Shtinkov (2016),"Kolev, Z., Shtinkov, N., 2016. The Pygmy Skipper Gegenes pumilio: a new species to Bulgaria, and a confirmation of its occurrence in the eastern Balkan Peninsula (Lepidoptera: Hesperiidae). Phegea 44, 16–22.",
BG,species_list,Kolev and Tsvetanov (2018),"Kolev, Z., Tsvetanov, T., 2018. Clarifications and new data on the distribution of Cacyreus marshalli Butler, 1898 in Bulgaria (Insecta, Lepidoptera, Lycaenidae). ZooNotes 122, 1-4.",
BY,species_list,Korb and Bolshakov (2016),"Korb, S.K., Bolshakov, L.V., 2016. A systematic catalogue of butterflies of the former Soviet Union (Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kyrgyzstan, Kazakhstan, Latvia, Lituania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan) with special account to their type specimens (Lepidoptera: Hesperioidea, Papilionoidea). Zootaxa 4160, 1-324.",https://doi.org/10.11646/zootaxa.4160.1.1
MD,species_list,Korb and Bolshakov (2016),"Korb, S.K., Bolshakov, L.V., 2016. A systematic catalogue of butterflies of the former Soviet Union (Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kyrgyzstan, Kazakhstan, Latvia, Lituania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan) with special account to their type specimens (Lepidoptera: Hesperioidea, Papilionoidea). Zootaxa 4160, 1-324.",https://doi.org/10.11646/zootaxa.4160.1.1
RO,species_list,Korb and Bolshakov (2016),"Korb, S.K., Bolshakov, L.V., 2016. A systematic catalogue of butterflies of the former Soviet Union (Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kyrgyzstan, Kazakhstan, Latvia, Lituania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan) with special account to their type specimens (Lepidoptera: Hesperioidea, Papilionoidea). Zootaxa 4160, 1-324.",https://doi.org/10.11646/zootaxa.4160.1.1
UA,species_list,Korb and Bolshakov (2016),"Korb, S.K., Bolshakov, L.V., 2016. A systematic catalogue of butterflies of the former Soviet Union (Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kyrgyzstan, Kazakhstan, Latvia, Lituania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan) with special account to their type specimens (Lepidoptera: Hesperioidea, Papilionoidea). Zootaxa 4160, 1-324.",https://doi.org/10.11646/zootaxa.4160.1.1
BA,species_list,Koren and Kulijer (2016),"Koren, T., Kulijer, D., 2016. New or interesting records of three butterfly (Lepidoptera: Papilionoidea & Hesperioidea) species from Bosnia and Herzegovina and Croatia. Natura Croatica 25, 321-326.",
MK,red_list,Krpač and Darcemont (2011),"Krpač, V.T., Darcemont, C., 2011. Red List of butterflies (Lepidoptera: Hesperioidea & Papilionoidea) for Republic of Macedonia. Revue d’écologie – la Terre et la Vie 67, 117-122.",
NL,species_list,Kuchlein and de Vos (1999),"Kuchlein, J.H., de Vos, R., 1999. Geannoteerde naamlijst van de Nederlandse vlinders - Annotated checklist of the Dutch Lepidoptera. Backhuys, Leiden.",
BY,red_list,Kulak and Yakovlev (2018),"Kulak, A.V., Yakovlev, R.V., 2018. Sozological analysis of the Butterflies (Lepidoptera, Papilionoidea) of upper bogs in Belarus. Ukrainian Journal of Ecology 8, 174-196.",
FR,species_list,Lafranchis et al. (2015),"Lafranchis, T., Jutzeler, D., Guillosson, J.-Y., Kan, P., Kan, B., 2015. La vie des papillons. Ecologie, Biologie et Comportement des Rhopalocères de France. Diatheo, Montpellier.",
BG,species_list,Langourov and Simov (2014),"Langourov, M., Simov, N., 2014. Cacyreus marshalli Butler, 1898 (Lep.: Lycaenidae), a new species for Bulgaria. Entomologist’s Record and Journal of Variation 26, 190-192.",
GR,red_list,Legakis and Maragou (2009),"Legakis, A., Maragou, P., 2009. The Red Book of Threatened Animals of Greece ([in Greek]. Hellenic Zoological Society, Athens.",
BA,species_list,Lelo (2016),"Lelo, S., 2016. Četvrta revizija popisa dnevnih leptira (Lepidoptera: Hesperioidea i Papilionoidea) Bosne i Hercegovine. Broj stranica 12, 49-59.",
